id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,NotaTareas,Examen,NotaFinal
13620606,7.00,7.00,3.25,2.51,7.00,2.65,5.8,1.0,4.8,5.8,4.8,-,5.1,4.40,4.89
13634917,3.50,5.50,6.00,1.00,6.45,2.65,3.6,1.0,7.1,5.5,4.8,-,4.6,4.40,4.55
14632330,6.00,7.00,3.00,4.02,6.50,4.55,3.0,1.0,7.4,6.6,5.8,-,5.4,5.58,5.43
16637240,5.00,7.00,7.00,1.00,7.00,6.50,2.5,1.9,1.0,4.0,2.3,-,4.4,3.75,4.25
14201399,5.00,7.00,1.00,4.35,6.95,2.25,7.0,1.0,3.3,5.9,5.4,-,4.8,5.20,4.91
16624254,6.00,1.00,1.00,1.00,7.00,3.10,2.0,5.5,4.5,6.1,6.4,7.0,4.9,4.75,4.83
15622258,5.50,6.67,1.00,1.00,1.00,2.35,1.0,1.0,1.0,1.0,1.0,-,2.2,2.50,2.24
17632293,5.00,6.01,1.00,1.00,7.00,1.00,5.0,1.0,5.1,1.0,5.4,7.0,4.3,4.33,4.34
14634031,4.00,1.00,7.00,6.03,4.82,1.00,1.0,1.0,1.0,1.0,1.0,-,2.8,1.00,2.34
15623688,4.50,5.00,1.75,1.00,6.30,2.65,3.5,1.0,1.0,1.0,1.0,-,2.8,1.00,3.53
16624823,5.00,3.01,1.00,4.02,4.34,4.20,2.5,5.6,1.0,6.6,4.3,7.0,4.6,4.33,4.57
15633438,6.00,6.67,1.00,6.03,4.34,6.75,1.0,6.9,6.8,7.0,5.6,-,5.7,6.18,5.82
16637402,6.50,6.90,7.00,6.03,7.00,7.00,4.5,7.0,8.0,7.0,5.9,-,6.8,4.35,6.21
14636697,5.50,6.25,7.00,4.02,7.00,5.80,1.0,5.6,2.5,5.0,4.5,-,5.3,5.03,5.24
14636530,4.50,4.33,1.00,3.01,6.60,3.72,5.0,1.0,3.1,5.7,4.8,7.0,4.6,4.08,4.44
15635570,5.50,5.50,1.00,1.00,7.00,1.00,2.0,1.0,1.0,5.7,5.8,5.7,4.0,3.98,4.01
16625153,6.00,1.00,4.00,1.00,6.30,1.00,2.9,1.0,1.0,1.0,1.0,-,2.5,1.00,3.17
16638891,5.50,6.33,2.75,1.00,7.00,5.75,2.4,3.1,2.3,6.3,4.8,7.0,5.0,4.03,4.79
15209814,5.00,1.00,1.00,3.01,7.00,6.69,7.0,1.3,4.0,6.9,5.7,-,4.8,5.10,4.85
15636461,7.00,5.50,7.00,1.00,6.73,3.40,1.8,5.8,1.0,6.5,5.3,5.4,5.4,4.85,5.29
15634795,5.50,4.75,3.00,1.00,1.00,2.30,6.5,4.0,1.0,5.8,5.7,4.3,4.1,4.75,4.25
15633845,4.50,5.00,4.00,1.51,7.00,4.00,4.0,1.0,4.8,6.6,5.7,6.8,5.0,5.74,5.17
13637835,5.00,2.00,3.25,5.02,6.73,2.65,2.0,1.0,1.0,5.4,5.6,7.0,4.5,4.45,4.46
14621045,7.00,6.00,1.00,6.54,7.00,3.25,6.9,6.0,6.3,6.6,6.2,7.0,6.5,5.01,6.16
14619474,6.00,6.34,4.00,3.05,7.00,2.25,3.0,1.0,1.0,6.0,4.4,-,4.3,4.35,4.31
16623347,4.50,6.00,1.00,1.00,3.97,5.50,3.5,2.7,6.8,6.6,5.4,5.3,5.0,5.25,5.08
14638029,6.00,6.67,1.00,3.92,2.00,3.45,7.0,4.7,5.5,5.3,6.1,-,5.1,5.83,5.25
